similarity_pct,product_a,product_b
94%,LED WP FITTING 2x4FT - RR,LED WP FITTING 2x 2FT - RR
94%,LED WP FITTING 2x4FT - RR,LED WP FITTING 1x 4FT - RR
94%,LED DRIVE 12V 100W - VMAX,LED DRIVE 12V 200W - V MAX
94%,LED DRIVE 12V 100W - VMAX,LED DRIVE 12V 500W - V.MAX
94%,LED DRIVE 12V 200W - V MAX,LED DRIVE 12V 300W  -VMAX
94%,LED DRIVE 12V 300W  -VMAX,LED DRIVE 12V 500W - V.MAX
94%,LAMP HOLDER G5.3 - MR16 HD,LAMP HOLDER G5.3 - MR16 C
94%,CABLE SINGLE CORE 1.0MM,CABLE SINGLE CORE 35.0MM
94%,CABLE SINGLE CORE 1.0MM,CABLE SINGLE CORE 25.0MM
94%,PVC JUNCTION BOX 20MM H,PVC JUNCTION BOX 20MM 3W
94%,PVC JUNCTION BOX 20MM H,PVC JUNCTION BOX 20MM 1W
94%,PVC JUNCTION BOX 20MM H,PVC JUNCTION BOX 20MM 4W
94%,PVC JUNCTION BOX 25MM H,PVC JUNCTION BOX 25MM 1W
94%,PVC JUNCTION BOX 25MM H,PVC JUNCTION BOX 25MM 3W
94%,PVC JUNCTION BOX 25MM H,PVC JUNCTION BOX 25MM 4W
94%,PVC CONNECTOR STRIP 100A,PVC CONNECTOR STRIP 15A
94%,PVC CONNECTOR STRIP 100A,PVC CONNECTOR STRIP 20A
94%,PVC CONNECTOR STRIP 100A,PVC CONNECTOR STRIP 30A
94%,PVC CONNECTOR STRIP 100A,PVC CONNECTOR STRIP 60A
94%,PVC FLEX PIPE 20MM BLK - DD,PVC FLEX PIPE 20MM BLK
94%,"PVC REDUCER BUSH HP 1/2""","PVC REDUCER BUSH HP 3""X2"""
94%,PVC JUNCTION BOX 25MM Y,PVC JUNCTION BOX 25MM 1W
94%,PVC JUNCTION BOX 25MM Y,PVC JUNCTION BOX 25MM 3W
94%,PVC JUNCTION BOX 25MM Y,PVC JUNCTION BOX 25MM 4W
94%,PVC JUNCTION BOX 20MM Y,PVC JUNCTION BOX 20MM 3W
94%,PVC JUNCTION BOX 20MM Y,PVC JUNCTION BOX 20MM 1W
94%,PVC JUNCTION BOX 20MM Y,PVC JUNCTION BOX 20MM 4W
94%,PVC JUNCTION BOX 25MM 1W,PVC JUNCTION BOX 25MM U
94%,PVC JUNCTION BOX 25MM 3W,PVC JUNCTION BOX 25MM U
94%,PVC JUNCTION BOX 25MM 4W,PVC JUNCTION BOX 25MM U
94%,PVC JUNCTION BOX 20MM U,PVC JUNCTION BOX 20MM 3W
94%,PVC JUNCTION BOX 20MM U,PVC JUNCTION BOX 20MM 1W
94%,PVC JUNCTION BOX 20MM U,PVC JUNCTION BOX 20MM 4W
94%,PVC AUTOMOBILE ELECTRICAL CABLE 1.00MM - FINOLEX,PVC AUTOMOBILE ELECTRICAL CABLE 1.5MM WH- FINOLEX
94%,BRASS WOOD SCREWS 12X100,BRASS WOOD SCREWS 12X50
94%,BRASS WOOD SCREWS 10X50,BRASS WOOD SCREWS 10X100
94%,BRASS WOOD SCREWS 10X40,BRASS WOOD SCREWS 10X100
94%,CARTRIDGE FUSE 10X38 10A,CARTRIDGE FUSE 10X38 6A
94%,CARTRIDGE FUSE 10X38 10A,CARTRIDGE FUSE 10X38 8A
94%,CARTRIDGE FUSE 10X38 10A,CARTRIDGE FUSE 10X38 4A
94%,CARTRIDGE FUSE 10X38 16A,CARTRIDGE FUSE 10X38 8A
94%,CARTRIDGE FUSE 10X38 16A,CARTRIDGE FUSE 10X38 4A
94%,CARTRIDGE FUSE 10X38 20A,CARTRIDGE FUSE 10X38 6A
94%,CARTRIDGE FUSE 10X38 20A,CARTRIDGE FUSE 10X38 8A
94%,CARTRIDGE FUSE 10X38 20A,CARTRIDGE FUSE 10X38 4A
94%,CARTRIDGE FUSE 10X38 32A,CARTRIDGE FUSE 10X38 6A
94%,CARTRIDGE FUSE 10X38 32A,CARTRIDGE FUSE 10X38 8A
94%,CARTRIDGE FUSE 10X38 32A,CARTRIDGE FUSE 10X38 4A
94%,DRILL BIT HILTI 16X160MM,DRILL BIT HILTI 6X110MM
94%,DRILL BIT HILTI 16X160MM,DRILL BIT HILTI 8X160MM
94%,DRILL BIT HILTI 10X160MM,DRILL BIT HILTI 8X160MM
94%,DRILL BIT HILTI 8X160MM,DRILL BIT HILTI 12X160MM
94%,EXT SOCKET 13A 5W/5MTR,EXT SOCKET 13A 5W/5MTR - HB
94%,FL TUBE FOR SALOON 10W,FL TUBE T5 FOR SALOON 10W
94%,MECHINE SCREWS M4X20MM,MECHINE SCREWS M4X20MM -PH
94%,MECHINE SCREWS M4X25MM,MECHINE SCREWS M4X25MM - PH
94%,RCCB 4P 40A 300MA - HAGER,RCCB 4P 100A 300MA - HAGER
94%,WP ISOLATOR 35A TPN - THAO,WP ISOLATOR 35A DP - THAO
94%,CERAMIC CONNECTOR 15A 1W,CERAMIC CONNECTOR 15A2W
94%,CERAMIC CONNECTOR 30A1W,CERAMIC CONNECTOR 10A 1W
94%,CERAMIC CONNECTOR 30A1W,CERAMIC CONNECTOR 30A 2W
94%,CERAMIC CONNECTOR 30A1W,CERAMIC CONNECTOR 30A 3W
94%,CERAMIC CONNECTOR 15A2W,CERAMIC CONNECTOR 15A 3W
94%,CERAMIC CONNECTOR 15A2W,CERAMIC CONNECTOR 10A 2W
94%,FIX THROUGH BOLT M10X100,FIX THROUGH BOLT M8X100
94%,MAGNETIC NUT SOCKET 8MM,MAGNETIC NUT SOCKET 12MM
94%,MAGNETIC NUT SOCKET 8MM,MAGNETIC NUT SOCKET 10MM
94%,MAGNETIC NUT SOCKET 8MM,MAGNETIC NUT SOCKET 14MM
94%,CONTROL CABLE SHIELDED  FLEXIBLE  12C X 0.5MM  M/C - SANA KABLO,CONTROL CABLE SHIELDED  FLEXIBLE  2CX0.5MM -SANA KABLO
94%,"LED SURFACE LIGHT SQ 10"" 30W - MAX","LED SURFACE LIGHT RD 10"" 30W - MAX"
94%,LED FLOOD LIGHT 100W WW - PRESTON,LED FLOOD LIGHT 150W WH - PRESTON
94%,LED FLOOD LIGHT 100W WW - PRESTON,LED FLOOD LIGHT 400W WH - PRESTON
94%,LED FLOOD LIGHT 100W WW - PRESTON,LED FLOOD LIGHT 200W WH - PRESTON
94%,LED FLOOD LIGHT 150W WW - PRESTON,LED FLOOD LIGHT 400W WW - PRESTON
94%,LED FLOOD LIGHT 150W WW - PRESTON,LED FLOOD LIGHT 200W WW - PRESTON
94%,LED FLOOD LIGHT 400W WW - PRESTON,LED FLOOD LIGHT 200W WH - PRESTON
94%,LED FLOOD LIGHT 150W WH - PRESTON,LED FLOOD LIGHT 400W WH - PRESTON
94%,LED FLOOD LIGHT 150W WH - PRESTON,LED FLOOD LIGHT 200W WH - PRESTON
94%,"LED PANEL SQ 8"" 20W FLUSH WH - MAX","LED PANEL RD 8"" 20W FLUSH WH - MAX"
94%,LED FLOOD LIGHT 200W WW - PRESTON,LED FLOOD LIGHT 400W WH - PRESTON
94%,"LED PANEL SQ 8"" 20W FLUSH WW - MAX","LED PANEL RD 8"" 20W FLUSH WW - MAX"
94%,"LED PANEL RD 8"" 22W FLUSH - INDIGO","LED PANEL SQ 8"" 22W FLUSH - INDIGO"
94%,LAMP HOLDER BATTEN B22 STRAIGHT,LAMP HOLDER BATTEN E27 STRAIGHT
94%,CABLE SINGLE CORE H.PROOF 1.0MM,CABLE SINGLE CORE H.PROOF 2.5MM
94%,CABLE SINGLE CORE H.PROOF 1.5MM,CABLE SINGLE CORE H.PROOF 6.0MM
94%,CABLE SINGLE CORE H.PROOF 1.5MM,CABLE SINGLE CORE H.PROOF 4.0MM
94%,CABLE SINGLE CORE H.PROOF 2.5MM,CABLE SINGLE CORE H.PROOF 6.0MM
94%,CABLE SINGLE CORE H.PROOF 2.5MM,CABLE SINGLE CORE H.PROOF 4.0MM
94%,CABLE FLEXIBLE SINGLE CORE 10MM,CABLE FLEXIBLE SINGLE CORE 35MM
94%,CABLE TIES ST STEEL 4.6 X 250MM,CABLE TIES ST STEEL 4.6 X 300MM
94%,CABLE TIES ST STEEL 4.6 X 250MM,CABLE TIES ST STEEL 4.6 X 400MM
94%,CABLE TIES ST STEEL 4.6 X 350MM,CABLE TIES ST STEEL 4.6 X 200MM
94%,CABLE TIES ST STEEL 4.6 X 350MM,CABLE TIES ST STEEL 4.6 X 400MM
94%,CABLE FLEXIBLE SINGLE CORE 35MM,CABLE FLEXIBLE SINGLE CORE 16MM
94%,PVC ST TRUNKING 25X16MM-DIGNITY,PVC ST TRUNKING 16X16MM-DIGNITY
94%,SWITCH 20A DP+NEON - GALION WHITE,SWITCH 45A DP + NEON - GALION WHITE
94%,SWITCH 20A DP IVORY WHITE- V MAX,SWITCH 45A DP  IVORY WHITE - V MAX
94%,DISTRIBUTION BOARD 4W TPN - MAXGE,DISTRIBUTION BOARD 6W SPN - MAXGE
94%,DISTRIBUTION BOARD 4W TPN - MAXGE,DISTRIBUTION BOARD 8W SPN - MAXGE
94%,DUCT EX FAN 200MM IN LINE - HUKAB,DUCT EX FAN 150MM IN LINE - HUKAB
94%,GI TRUNKING 150x150MM - 2.44MTR,GI TRUNKING TEE 150x150MM - 2.44MTR
94%,HALOGEN DICHR LAMP 12V 71W MR16,HALOGEN DICHR LAMP 12V 50W MR16
94%,HALOGEN DICHR LAMP 12V 50W MR16,HALOGEN DICHR LAMP 12V 35W MR11
94%,HALOGEN DICHR LAMP 12V 50W MR16,HALOGEN DICHR LAMP 12V 20W MR11
94%,HALOGEN DICHR LAMP 12V 35W MR11,HALOGEN DICHR LAMP 12V 20W MR11
94%,IND MOBILE SOCKET 415V 63A 3P+E,IND MOBILE SOCKET 415V 32A 2P+E
94%,IND MALE PLUG 415V 16A 3P+N+E,IND MALE PLUG 415V 16A 3P+N+E (PCE)
94%,IND WALL SOCKET 415V 32A 3P+E,IND WALL SOCKET 415V 32A 3P+E - PCE
94%,IND MALE PLUG 380/415V 32A  3P+E,IND MALE PLUG 380/415V 16A 3P+E
94%,IND MALE PLUG 415V 63A 3P+N+E,IND MALE PLUG 415V 63A 3P+N+E - (PCE)
94%,IND WALL SOCKET 220V 32A 2P+E,IND WALL SOCKET 220V 32A 2P+E - (PCE)
94%,IND WALL SOCKET 220V 16A 2P+E,IND WALL SOCKET 220V 16A 2P+E (PCE)
94%,IND MOBILE SOCKET 110V 16A 2P+E,IND MOBILE SOCKET 220V 16A 2P+E
94%,IND MALE PLUG 220V 16A 2P+E -  (PCE),IND MALE PLUG 220V 32A 2P+E - (PCE)
94%,TELEPHONE SOCKET BT MASTER 1G SWE,TELEPHONE SOCKET BT MASTER 1G
94%,METAL ENCLOSURE WP 500X400X300MM,METAL ENCLOSURE WP 500X400X200
94%,METAL ENCLOSURE WP 300X300X200,METAL ENCLOSURE WP 400X300X200MM
94%,OVERLOAD RELAY 2.5-4A SCHNEIDER,OVERLOAD RELAY 5.5-8A SCHNEIDER
94%,PRE INS. BUD TERMINAL 1.5MM FEMALE,PRE INS. TERMINAL 1.5MM FEMALE
94%,PRE INS. BUD TERMINAL 4/6MM MALE,PRE INS. BUD TERMINAL 1.5MM MALE
94%,PRE INS. BUD TERMINAL 4/6MM MALE,PRE INS. BUD TERMINAL 2.5MM MALE
94%,PRE INS. THROUGH CONNECTOR 1.5MM,PRE INS. THROUGH CONNECTOR 4/6MM
94%,PRE INS. THROUGH CONNECTOR 2.5MM,PRE INS. THROUGH CONNECTOR 4/6MM
94%,PRE INS. TERMINAL 2.5MM FEMALE,PRE INS. BUD TERMINAL 2.5MM FEMALE
94%,PRE INS. TERMINAL 4/6MM FEMALE,PRE INS. BUD TERMINAL 4/6MM FEMALE
94%,REFLECTOR LAMP PAR38 150W E27,REFLECTOR LAMP PAR38 150W 24V E27
94%,TIMER SWITCH 25A 240V - KAWAMURAH,TIMER SWITCH 30A 240V - KAWAMURAH
94%,LED DICHROIC LAMP 6W GU10  DIM CW- WELLUCK,LED DICHROIC LAMP 8W GU10 DIM-WELLUCK
94%,MAGNETIC CONTACTOR 240V 12A - SCHNEIDER,MAGNETIC CONTACTOR 240V 25A 2P - SCHNEIDER
94%,MAGNETIC CONTACTOR 240V 25A 2P - SCHNEIDER,MAGNETIC CONTACTOR 240V 32A - SCHNEIDER
93%,CONTROL CABLE  SHIELDED FLEXIBLE 2CX1MM - SEECAB,CONTROL CABLE  SHIELDED FLEXIBLE 4CX0.5MM - SEECAB
93%,CONTROL CABLE  SHIELDED FLEXIBLE 7CX1MM - SEECAB,CONTROL CABLE  SHIELDED FLEXIBLE 4CX0.5MM - SEECAB
93%,LED BULB 9W E27 - AOMENG,LED BULB 12W E27 - AOMENG
93%,LED FLOOD LIGHT 30W WW - HYUNDAI,LED FLOOD LIGHT 50W WH - HYUNDAI
93%,LED SPIKE LIGHT 15W WW - V MAX,LED SPIKE LIGHT 15W / 25W WH - V MAX
93%,LED FLOOD LIGHT 30W WH - HYUNDAI,LED FLOOD LIGHT 50W WW - HYUNDAI
93%,"LED PANEL RD 8"" 30W FLUSH - LIPER","LED PANEL RD 6"" 20W FLUSH - LIPER"
93%,"LED PANEL RD 6"" 20W FLUSH - LIPER",LED PANEL RD 5'' 12W FLUSH- LIPER
93%,LED BATTEN FITTING 2X4FT - BENNA,LED BATTEN FITTING 1X2FT - BENNA
93%,LED BATTEN FITTING 1X4FT - BENNA,LED BATTEN FITTING 2X2FT - BENNA
93%,LED FLOOD LIGHT 30W WH - PRESTON,LED FLOOD LIGHT 50W WW- PRESTON
93%,LED FLOOD LIGHT 30W WW - PRESTON,LED FLOOD LIGHT 50W WH - PRESTON
93%,"LED PANEL SQ 10"" 30W FLUSH - TECO","LED PANEL RD 10"" 30W FLUSH - TECO"
93%,LED NIGHT LAMP 0.5 E27,LED NIGHT LAMP 1.5W E27
93%,LED DECORATION LIGHT MOON DESIGN WW,LED DECORATION LIGHT MOON DESIGN WW -  4MTR
93%,LAMP HOLDER BATTEN B22 ANGLE,LAMP HOLDER BATTEN E27/B22 ANGLE
93%,LAMP HOLDER BATTEN E27/B22 ANGLE,LAMP HOLDER BATTEN E27 ANGLE
93%,CABLE FLEXIBLE 5CX1.5MM,CABLE FLEXIBLE 5CX10MM
93%,CABLE FLEXIBLE 5CX1.5MM,CABLE FLEXIBLE 5CX25MM
93%,CABLE FLEXIBLE 5CX1.5MM,CABLE FLEXIBLE 5CX35MM
93%,CABLE FLEXIBLE 5CX1.5MM,CABLE FLEXIBLE 5CX16MM
93%,CABLE FLEXIBLE 4CX16MM,CABLE FLEXIBLE 4CX6.0MM
93%,CABLE FLEXIBLE 5CX1.0MM,CABLE FLEXIBLE 5CX16MM
93%,CABLE SINGLE CORE 95.0MM LOOSE,CABLE SINGLE CORE 10.0MM LOOSE
93%,CABLE SINGLE CORE 95.0MM LOOSE,CABLE SINGLE CORE 70.0MM LOOSE
93%,CABLE SINGLE CORE 95.0MM LOOSE,CABLE SINGLE CORE 16.0MM LOOSE
93%,CABLE PVC SW ARMOURED 2CX6.0MM,CABLE PVC SW ARMOURED 4CX4.0MM
93%,CABLE PVC SW ARMOURED 4CX6.0MM,CABLE PVC SW ARMOURED 4CX120MM
93%,CABLE PVC SW ARMOURED 4CX6.0MM,CABLE PVC SW ARMOURED 4CX150MM
93%,CABLE PVC SW ARMOURED 4CX6.0MM,CABLE PVC SW ARMOURED 4CX2.5MM
93%,CABLE PVC SW ARMOURED 4CX120MM,CABLE PVC SW ARMOURED 4CX185MM
93%,CABLE PVC SW ARMOURED 4CX120MM,CABLE PVC SW ARMOURED 4CX2.5MM
93%,CABLE PVC SW ARMOURED 4CX120MM,CABLE PVC SW ARMOURED 4CX4.0MM
93%,"CABLE CUTTER 12""","CABLE CUTTER 10"""
93%,CABLE PVC SW ARMOURED 1CX500MM,CABLE PVC UN ARMOURED 1CX500MM
93%,CABLE PVC SW ARMOURED 1CX500MM,CABLE PVC SW ARMOURED 4CX150MM
93%,CABLE WITH HOLDER 100 ( BELT) WP 50MTR - MODI,CABLE WITH HOLDER ( BELT) WP 5MTR - MODI
93%,CABLE MARKER LEGRAND 4 - 6mm (A-Z),CABLE MARKER LEGRAND 4 - 6mm (0-9)
93%,CABLE PVC SW ARMOURED 4CX185MM,CABLE PVC SW ARMOURED 4CX2.5MM
93%,CABLE PVC SW ARMOURED 4CX185MM,CABLE PVC SW ARMOURED 3CX1.5MM
93%,CABLE SINGLE CORE 120.0MM LOOSE,CABLE SINGLE CORE 4.0MM LOOSE
93%,CABLE SINGLE CORE 120.0MM LOOSE,CABLE SINGLE CORE 6.0MM LOOSE
93%,CABLE SINGLE CORE 120.0MM LOOSE,CABLE SINGLE CORE 1.5MM LOOSE
93%,CABLE SINGLE CORE 120.0MM LOOSE,CABLE SINGLE CORE 2.5MM LOOSE
93%,CABLE PVC SW ARMOURED 4CX150MM,CABLE PVC SW ARMOURED 4CX2.5MM
93%,CABLE PVC SW ARMOURED 4CX150MM,CABLE PVC SW ARMOURED 3CX1.5MM
93%,CABLE PVC SW ARMOURED 4CX150MM,CABLE PVC SW ARMOURED 4CX4.0MM
93%,CABLE SINGLE CORE 50.0MM LOOSE,CABLE SINGLE CORE 16.0MM LOOSE
93%,CABLE PVC SW ARMOURED 4CX2.5MM,CABLE PVC SW ARMOURED 3CX1.5MM
93%,CABLE PVC SW ARMOURED 4CX2.5MM,CABLE PVC SW ARMOURED 4CX4.0MM
93%,CABLE SINGLE CORE 35.0MM LOOSE,CABLE SINGLE CORE 10.0MM LOOSE
93%,CABLE SINGLE CORE 35.0MM LOOSE,CABLE SINGLE CORE 70.0MM LOOSE
93%,CABLE SINGLE CORE 35.0MM LOOSE,CABLE SINGLE CORE 16.0MM LOOSE
93%,CABLE SINGLE CORE 70.0MM LOOSE,CABLE SINGLE CORE 16.0MM LOOSE
93%,PVC CONDUIT PIPE 20MM DD,PVC CONDUIT PIPE 20MM
93%,PVC TRUNKING 16X16 - DD,PVC ST TRUNKING 16X16 - DD
93%,PVC ST TRUNKING 38X25 - DD,PVC TRUNKING 38X25 - DD
93%,PVC BOX SURFACE 3X6 TE - DIGNITY,PVC BOX SURFACE 3X3 PE - DIGNITY
93%,PVC BOX SURFACE 3X3 TE - DIGNITY,PVC BOX SURFACE 3X6 PE - DIGNITY
93%,PVC ADAPTABLE BOX WP 12X12X4 - DIG,PVC ADAPTABLE BOX WP 12X12X4
93%,PVC TRUNKING 100X50 - DD,PVC TRUNKING 100X100 - DD
93%,"PVC SOCKET HP 3""","PVC SOCKET HP 2"""
93%,"PVC SOCKET HP 3""","PVC SOCKET HP 4"""
93%,"PVC SOCKET HP 3""","PVC SOCKET HP 1"""
93%,PVC GLAND PG-42,PVC GLAND PG-29
93%,PVC GLAND PG-42,PVC GLAND PG-21
93%,PVC GLAND PG-42,PVC GLAND PG-48
93%,PVC GLAND PG-29,PVC GLAND PG-21
93%,PVC CONDUIT PIPE 50MM DD,PVC CONDUIT PIPE 50MM
93%,"PVC TEE HP 1/2""","PVC TEE HP 1-1/2"""
93%,PVC MALE ADAPTOR 20MM,PVC MALE ADAPTOR 20MM- DD
93%,"PVC SOCKET HP 2""","PVC SOCKET HP 4"""
93%,"PVC SOCKET HP 2""","PVC SOCKET HP 1"""
93%,PVC JUNCTION BOX 25MM 2W THROUGH (BLK),PVC JUNCTION BOX 20MM 2W THROUGH BLK -DD
93%,"PVC SOCKET HP 4""","PVC SOCKET HP 1"""
93%,PVC CONDUIT PIPE 32MM DD,PVC CONDUIT PIPE 32MM
93%,PVC GLAND PG-21,PVC GLAND PG-11
93%,PVC GLAND PG-21,PVC GLAND PG-16
93%,PVC CONNECTOR STRIP 6A,PVC CONNECTOR STRIP 15A
93%,PVC CONNECTOR STRIP 6A,PVC CONNECTOR STRIP 20A
93%,PVC CONNECTOR STRIP 6A,PVC CONNECTOR STRIP 10A
93%,PVC CONNECTOR STRIP 6A,PVC CONNECTOR STRIP 30A
93%,PVC GLAND PG-11,PVC GLAND PG-16
93%,PVC TRUNKING 50X50MM-I HENSWELL,PVC TRUNKING 75X50MM- HENSWELL
93%,PVC GLAND PG-36,PVC GLAND PG-16
93%,PVC TRUNKING 25X16 - DD,PVC ST TRUNKING 25X16 - DD
93%,PVC CONDUIT PIPE 38MM,PVC CONDUIT PIPE 38MM DD
93%,PVC CONDUIT PIPE 25MM,PVC CONDUIT PIPE 25MM DD
93%,SW SOCKET 13A 2G - MALLIA SILVER,SW SOCKET 15A 1G - MALLIA SILVER
93%,SWITCH 20A 1G 1W - MALLIA SILVER,SWITCH 2OA 3G 1W - MALLIA SILVER
93%,SWITCH 20A 1G 1W - MALLIA SILVER,SWITCH 20A 3G 2W  - MALLIA SILVER
93%,SWITCH 20A 1G 1W - MALLIA SILVER,SWITCH 10A 4G 1W  - MALLIA SILVER
93%,SWITCH 20A 1G 1W - MALLIA SILVER,SWITCH 20A 2G 2W - MALLIA SILVER
93%,SWITCH 20A 1G 2W - MALLIA SILVER,SWITCH 20A 2G 1W - MALLIA SILVER
93%,SWITCH 20A 2G 1W - MALLIA SILVER,SWITCH 2OA 3G 1W - MALLIA SILVER
93%,SWITCH 20A 2G 1W - MALLIA SILVER,SWITCH 20A 3G 2W  - MALLIA SILVER
93%,SWITCH 20A 2G 1W - MALLIA SILVER,SWITCH 10A 4G 1W  - MALLIA SILVER
93%,SWITCH 2OA 3G 1W - MALLIA SILVER,SWITCH 20A 3G 2W  - MALLIA SILVER
93%,SWITCH PVC 10A 6G 1W 3X6 - TENBY,SWITCH PVC 10A 4G 2W  3X6 - TENBY
93%,UNSWITCHED SOCKET 13A 1G S/C - ABB,UNSWITCHED SOCKET 13A 1G - ABB
93%,BOTTLE FUSE 35A,BOTTLE FUSE 50A
93%,BOTTLE FUSE 35A,BOTTLE FUSE 15A
93%,BOTTLE FUSE 35A,BOTTLE FUSE 25A
93%,BOTTLE FUSE 50A,BOTTLE FUSE 10A
93%,BOTTLE FUSE 50A,BOTTLE FUSE 15A
93%,BOTTLE FUSE 50A,BOTTLE FUSE 25A
93%,BOTTLE FUSE 10A,BOTTLE FUSE 15A
93%,BOTTLE FUSE 15A,BOTTLE FUSE 25A
93%,BRASS WOOD SCREWS 10X63,BRASS WOOD SCREWS 8X63
93%,BRASS WOOD SCREWS 8X50,BRASS WOOD SCREWS 10X50
93%,BRASS WOOD SCREWS 8X50,BRASS WOOD SCREWS 12X50
93%,BRASS WOOD SCREWS 8X75,BRASS WOOD SCREWS 12X75
93%,BRASS WOOD SCREWS 8X75,BRASS WOOD SCREWS 10X75
93%,BRASS WOOD SCREWS 10X40,BRASS WOOD SCREWS 8X40
93%,CAPSULE LAMP 240V 20W G9 - OSRAM,CAPSULE LAMP 240V 35W G9 - OSRAM
93%,CARTRIDGE FUSE 6X25 FOR TOP PLUG 10A,CARTRIDGE FUSE 6X25 FOR TOP PLUG 13A UK
93%,CARTRIDGE FUSE 6X25 FOR TOP PLUG 13A UK,CARTRIDGE FUSE 6X25 FOR TOP PLUG 15A
93%,DISTRIBUTION BOARD 6+4 TPN - ABB,DISTRIBUTION BOARD 8+6 TPN - ABB
93%,DISTRIBUTION BOARD 4+2 TPN - PRC,DISTRIBUTION BOARD 6+4 TPN - PRC
93%,DISTRIBUTION BOX WP 12WAY - HT12,DISTRIBUTION BOX WP 15WAY - HT15
93%,DISTRIBUTION BOX WP 12WAY - HT12,DISTRIBUTION BOX WP 18WAY - HT18
93%,DISTRIBUTION BOX WP 15WAY - HT15,DISTRIBUTION BOX WP 18WAY - HT18
93%,DUCT EX FAN 200MM IN LINE - MODI,DUCT EX FAN 150MM IN LINE - MODI
93%,EX FAN PVC SQUARE 20CM - PRESTON,EX FAN PVC SQUARE 15CM - PRESTON
93%,EXT SOCKET 13A 5W/5MTR - KL STAR,EXT SOCKET 13A 4W/3MTR- KL STAR
93%,EXT SOCKET 13A 5W/5MTR - KL STAR,EXT SOCKET 13A 3W/3MTR - KL STAR
93%,EXT SOCKET 13A 4W/3MTR- KL STAR,EXT SOCKET 13A 3W/5MTR - KL STAR
93%,EXT SOCKET 13A 4W/3MTR- KL STAR,EXT SOCKET 13A 6W/5MTR - KL STAR
93%,EXT SOCKET 13A 3W/3MTR - KL STAR,EXT SOCKET 13A 6W/5MTR - KL STAR
93%,ULTIMATE PE BLANK PLATE  3X6 SS,ULTIMATE PE BLANK BLATE 3X3 SS
93%,GI CABLE TRAY 450x50MM - 2.44MTR,GI CABLE TRAY 150x40MM - 2.44MTR
93%,GI CABLE TRAY 450x50MM - 2.44MTR,GI CABLE TRAY 225x50MM - 2.44MTR
93%,GI CABLE TRAY 450x50MM - 2.44MTR,GI CABLE TRAY 200x50MM - 2.44MTR
93%,GI CABLE TRAY 450x50MM - 2.44MTR,GI CABLE TRAY 100x50MM - 2.44MTR
93%,GI CABLE TRAY 450x50MM - 2.44MTR,GI CABLE TRAY 300x50MM - 2.44MTR
93%,GI CABLE TRAY 100x40MM - 2.44MTR,GI CABLE TRAY 200x50MM - 2.44MTR
93%,GI CABLE TRAY 100x40MM - 2.44MTR,GI CABLE TRAY 150x50MM - 2.44MTR
93%,GI CABLE TRAY 100x40MM - 2.44MTR,GI CABLE TRAY 300x50MM - 2.44MTR
93%,GI CABLE TRAY 150x40MM - 2.44MTR,GI CABLE TRAY 100x50MM - 2.44MTR
93%,GI CABLE TRAY 225x50MM - 2.44MTR,GI CABLE TRAY 200x50MM - 2.44MTR
93%,GI CABLE TRAY 225x50MM - 2.44MTR,GI CABLE TRAY 150x50MM - 2.44MTR
93%,"GI CLIP 11/2"" LD","GI CLIP 11/4"" LD"
93%,GI CABLE TRAY 200x50MM - 2.44MTR,GI CABLE TRAY 150x50MM - 2.44MTR
93%,GI SNAP HOOK - M6,GI SNAP HOOK - M4
93%,GI CABLE TRAY 150x50MM - 2.44MTR,GI CABLE TRAY 300x50MM - 2.44MTR
93%,IND WALL SOCKET 415V 32A 3P+E,IND WALL SOCKET 415V 63A 3P+N+E
93%,IND WALL SOCKET 415V 63A 3P+E,IND WALL SOCKET 415V 32A 3P+N+E
93%,IND MALE PLUG 380/415V 32A  3P+E - (PCE) IP67,IND MALE PLUG 380/415V 32A  3P+E - PCE
93%,IND MALE PLUG 380/415V 63A 3P+E - (PCE),IND MALE PLUG 380/415V 63A 3P+E - (PCE) IP67
93%,IND MOBILE SOCKET 220V 16A 2P+E - (PCE) IP67,IND MOBILE SOCKET 220V 16A 2P+E (PCE)
93%,KOPEX PIPE 50MM,KOPEX PIPE 40MM
93%,KOPEX PIPE 50MM,KOPEX PIPE 20MM
93%,KOPEX PIPE 50MM,KOPEX PIPE 25MM
93%,KOPEX PIPE 40MM,KOPEX PIPE 20MM
93%,KOPEX PIPE 32MM,KOPEX PIPE 20MM
93%,KOPEX PIPE 32MM,KOPEX PIPE 25MM
93%,KOPEX PIPE 20MM,KOPEX PIPE 25MM
93%,LINE TAP CONNECTOR M120,LINE TAP CONNECTOR M16
93%,LINE TAP CONNECTOR M120,LINE TAP CONNECTOR M25
93%,LINE TAP CONNECTOR M120,LINE TAP CONNECTOR M50
93%,LINE TAP CONNECTOR M120,LINE TAP CONNECTOR M70
93%,TELEPHONE CABLE  20 CORE,TELEPHONE CABLE  6 CORE
93%,TELEPHONE CABLE  20 CORE,TELEPHONE CABLE  8 CORE
93%,TELEPHONE CABLE  6 CORE,TELEPHONE CABLE  12 CORE
93%,TELEPHONE CABLE  8 CORE,TELEPHONE CABLE  12 CORE
93%,TELEPHONE CABLE  8 CORE,TELEPHONE CABLE  16 CORE
93%,METAL ENCLOSURE WP 300X300X200,METAL ENCLOSURE WP 500X400X200
93%,MOTOR STARTER DOL 415V 8-11.5A,MOTOR STARTER DOL 240V 8-11.5A
